date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:14	58564/58564	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jan%202025%2006:35:11%20GMT	https://s-t-stairs.webware.io/	C:/My%20Web%20Sites/ST%20&%20Co./s-t-stairs.webware.io/index.html	(from )
12:05:14	1967/1967	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:12%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-57x57.png	(from https://s-t-stairs.webware.io/)
12:05:15	2030/2030	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:12%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-60x60.png	(from https://s-t-stairs.webware.io/)
12:05:15	2562/2562	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:13%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-72x72.png	(from https://s-t-stairs.webware.io/)
12:05:16	2683/2683	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:13%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-76x76.png	(from https://s-t-stairs.webware.io/)
12:05:16	4393/4393	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:13%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-114x114.png	(from https://s-t-stairs.webware.io/)
12:05:16	4607/4607	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:14%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-120x120.png	(from https://s-t-stairs.webware.io/)
12:05:17	5774/5774	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:14%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-144x144.png	(from https://s-t-stairs.webware.io/)
12:05:17	5880/5880	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:14%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-152x152.png	(from https://s-t-stairs.webware.io/)
12:05:17	6630/6630	---MC-	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2006:35:15%20GMT	https://dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-167x167.png	C:/My%20Web%20Sites/ST%20&%20Co./dvm0q8ak413bh.cloudfront.net/data/org/26228/theme/43706/img/apple-touch-icon-167x167.png	(from https://s-t-stairs.webware.io/)
